Drug,Therapeutic Area*,Biomarker†,Labeling Sections
Abacavir,Infectious Diseases,HLA-B,"Boxed Warning, Dosage and Administration, Contraindications, Warnings and Precautions"
Abemaciclib (1),Oncology,"ESR
(Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Studies"
Abemaciclib (2),Oncology,"ERBB2 
(HER2)","Indications and Usage, Adverse Reactions, Clinical Studies"
Ado-Trastuzumab Emtansine,Oncology,"ERBB2 
(HER2)","Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Afatinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Alectinib,Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Amitriptyline,Psychiatry,CYP2D6,Precautions
Anastrozole,Oncology,"ESR, PGR 
(Hormone Receptor)","Indications and Usage, Adverse Reactions, Drug Interactions, Clinical Studies"
Arformoterol (1),Pulmonary,UGT1A1,Clinical Pharmacology
Arformoterol (2),Pulmonary,CYP2D6,Clinical Pharmacology
Aripiprazole,Psychiatry,CYP2D6,"Dosage and Administration, Use in Specific Populations, Clinical Pharmacology"
Aripiprazole Lauroxil,Psychiatry,CYP2D6,"Dosage and Administration, Use in Specific Populations, Clinical Pharmacology"
Arsenic Trioxide,Oncology,PML-RARA,Indications and Usage
Atezolizumab,Oncology,"CD274 
(PD-L1)","Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Atomoxetine,Psychiatry,CYP2D6,"Dosage and Administration, Warnings and Precautions, Adverse Reactions, Drug Interactions, Clinical Pharmacology"
"Ascorbic Acid, PEG-3350, Potassium Chloride, Sodium Ascorbate, Sodium Chloride, and Sodium Sulfate",Gastroenterology,G6PD,Warnings and Precautions
Avelumab,Oncology,"CD274 
(PD-L1)",Clinical Studies
Azathioprine,Rheumatology,TPMT,"Dosage and Administration, Warnings, Precautions, Drug Interactions, Adverse Reactions, Clinical Pharmacology"
